under_body2_AX,under_body2_AY,under_body2_AZ,under_body2_GX,under_body2_GY,under_body2_GZ,under_body3_AX,under_body3_AY,under_body3_AZ,under_body3_GX,under_body3_GY,under_body3_GZ
22132,1100,4384,-13004,85,-15138,-16916,-8968,304,9866,-3140,-87
14908,612,-7128,8249,7970,-3565,-14000,-2468,908,15786,-6710,-3307
5132,-432,-8008,-2830,-9398,-3118,-10324,-7024,-452,-18276,-2786,499
27004,16164,32767,-682,5355,-4463,-13876,-864,11896,396,4778,-1878
22092,-7428,-2704,8035,-17681,931,-26120,192,8120,18630,-4715,-11367
15984,6776,-1984,12890,-13484,3616,-25548,-17452,-8888,9418,5912,7566
14412,-344,5740,5619,2505,5739,-6180,-5708,-10204,25,-7555,3583
11456,5412,20280,10679,840,12866,-11704,-5720,-3268,-23475,5870,-2282
22196,1556,2408,-13746,4784,-17001,-13168,-1024,-3280,1144,-4778,3102
14984,272,-6660,2845,13649,-3867,-13428,-7432,-932,9694,-3045,-5846
2144,-356,-8664,-131,-7913,-2385,-14948,-6964,-3016,-29275,-2104,2380
23056,8368,27400,-25537,-20604,6526,-13700,-624,11116,8815,15390,-5265
17876,1228,336,6952,-8403,711,-16576,-16860,-7712,9775,7267,6545
13092,2320,9108,4914,3159,6443,-5720,-5928,-8988,10460,-1687,4129
0,0,0,0,0,0,-9228,288,-4088,12252,16905,8357
3732,6024,24676,2871,-539,3408,-12776,-4424,2540,-32768,23187,-10536
0,0,0,0,0,0,-17584,-668,-2532,3646,12570,-3557
18056,-656,164,-12042,-15191,-8401,-13880,-3100,-3124,-838,-8923,43
14248,-212,1188,-3696,-3494,-1983,-13228,-4732,408,334,1153,-714
14336,5092,4532,3652,-1007,-3958,-13792,-4360,-620,-4111,1164,335
13960,5528,4576,4366,-3606,-2629,-13308,-5388,-220,-1241,3785,-1124
21964,-448,832,0,0,0,-15144,-2392,-2860,-1733,496,-702
12660,1724,-1688,5751,2332,-2399,-12292,-6492,-508,-7810,-172,598
11824,2808,612,-7442,-3843,-179,-13396,-3964,884,-2134,994,344
18952,4872,11792,-4808,-669,0,-14640,-5108,-412,1847,4864,-3308
14756,5268,10264,5997,5073,8942,-8032,-1384,-2112,-18459,-11520,-5850
2356,6488,27156,-8163,-15428,-6998,-16048,-12912,2292,-9767,5660,-2726
14664,-2164,-4968,-1830,9156,-7908,-13288,-3968,-3684,9055,-11873,-3968
8044,-1772,-5308,-5004,-4405,-780,-12732,-4048,-380,-10886,-6219,1705
17184,3144,8344,-9695,-10067,4907,-14216,-4344,620,2917,5536,-3348
16476,3040,-1728,10459,-1246,2940,-23696,-13448,-6484,5089,13961,6338
12808,1524,7080,-7092,2756,1508,-3504,-5420,-10600,3832,-7919,3533
15024,7476,8896,0,0,0,-18608,-172,9796,-19484,15790,-8358
26752,172,7656,-14514,-4806,-17940,-19220,1532,-6688,22524,32767,-1966
13112,-1348,-6424,297,8420,-8304,-17040,-3736,-5104,28618,-9088,-5362
5600,-980,-8456,-3707,-7789,-2703,-12752,-5584,-1452,-26385,-10260,2809
32767,10144,32767,-25201,-17107,-442,-13356,-2864,7176,3754,12792,-3797
6080,-8720,13088,0,0,0,-14732,-15260,19524,-609,-17386,-4708
18972,9516,-612,0,0,0,-22480,-12496,-5476,8559,11913,5863
16940,5788,1632,11867,9174,6238,-5216,-7124,-10056,12029,-10177,6807
15612,5424,10508,5952,1977,8574,-15744,4388,26840,-10301,862,-2492
30068,-136,9912,0,0,0,-22100,-1684,-2468,10206,28797,-3106
13888,-188,-6908,3199,7796,-7215,-12212,-4432,-3936,25520,-1315,-6493
5800,-756,-8644,-2017,-7306,-2599,-14236,-5572,-820,-11419,-13519,1582
32280,15748,32767,11274,-7917,-16183,-12996,-3764,6848,1553,5136,-4104
22964,8736,-1876,19815,-15950,1881,-23436,-5528,-1136,551,-441,8765
14980,8016,1172,22254,21783,4392,-8416,-5508,-10188,6056,-4937,6207
13948,3988,5612,-4272,-1813,2389,-3044,-3344,-9452,-4240,199,3293
13104,-976,-4568,11303,10409,-2337,-14496,-4472,-1668,15438,-12046,-4386
7924,-96,-6856,6236,-620,-986,-10692,-8504,3568,-14849,-7131,1847
12644,7740,1524,-3861,-13206,4989,-12320,-4784,4232,-3685,7682,-3773
19804,-9908,19112,-1064,3761,910,-4192,-10432,24088,-23362,-8733,14760
20948,4860,-1548,0,0,0,-25396,-5396,-4380,-11671,-7824,12927
