under_body2_AX,under_body2_AY,under_body2_AZ,under_body2_GX,under_body2_GY,under_body2_GZ,under_body3_AX,under_body3_AY,under_body3_AZ,under_body3_GX,under_body3_GY,under_body3_GZ
11900,-1596,10796,621,-45,1103,-14032,564,-7836,39,148,76
12016,-1732,10264,296,220,522,-14140,456,-7912,26,148,-4
11604,-1256,9152,-627,2610,-1220,-14032,756,-7908,-142,270,145
11800,-1820,10484,-92,402,672,-14092,408,-7768,8,120,41
11928,-1672,10572,35,266,129,-14088,560,-7860,-8,132,77
11872,-1656,10780,103,361,258,-14024,532,-7796,12,146,54
11924,-1788,10744,-106,603,-70,-14020,528,-7784,19,172,58
12576,-1668,11196,260,331,-363,-14024,460,-7736,17,161,65
12024,-1628,10592,-78,-175,-719,-13992,320,-7848,35,155,63
11408,-1816,11100,1078,-1074,1578,-13752,452,-7732,6,156,149
12092,-1740,10444,-776,1007,-1140,-13888,480,-7868,-14,143,90
11948,-1692,10812,422,-947,381,-13984,520,-7924,2,150,120
11772,-1616,10732,88,-24,204,-13932,660,-7880,35,150,-9
12248,-1584,10268,218,102,301,-13948,548,-7816,7,138,92
12292,-1568,10924,485,-983,297,-13940,416,-7848,63,148,14
12116,-1680,10548,681,-259,1013,-14060,516,-7860,28,169,35
11972,-1688,10676,502,-202,685,-13996,572,-7760,16,143,69
12060,-1536,10356,-264,1122,-427,-13996,492,-7824,43,169,79
12136,-1616,10192,-6,358,69,-14008,520,-7904,41,150,77
11816,-1656,10788,347,200,549,-14024,536,-7808,-7,143,45
12120,-1736,10508,-313,518,-530,-14024,580,-7848,16,144,89
11796,-1652,10852,-152,341,-345,-13996,460,-7908,20,146,67
12004,-1652,10684,418,-219,554,-14028,492,-7804,25,154,80
11772,-1756,10792,188,35,123,-14012,556,-7788,56,136,74
11792,-1700,10680,-160,511,-349,-14000,508,-7852,10,146,56
11820,-1716,10680,330,-192,521,-14040,528,-7840,21,143,86
11964,-1720,10556,248,-484,248,-14104,552,-7852,23,160,56
11904,-1496,10692,267,36,506,-14100,432,-7816,28,154,76
12156,-1684,10732,327,-10,455,-13976,528,-7836,-10,152,44
12056,-1976,10640,-973,409,-1435,-13904,744,-7832,10,133,69
12220,-1304,10356,-207,-49,7,-14072,540,-7704,3,154,106
11736,-1756,10672,1,200,213,-14056,380,-7764,19,127,61
12260,-1528,10240,322,137,525,-13944,464,-7884,6,158,67
11824,-1788,10756,1043,-233,1650,-14764,852,-7852,125,1,-27
12288,-1424,10348,400,-140,107,-13892,832,-7684,41,-10,-309
11680,-1700,10824,-218,638,-514,-13996,332,-7892,60,42,44
12124,-1680,10360,174,101,180,-14040,448,-7808,27,107,87
12004,-1628,10736,-21,62,-67,-13896,440,-7808,54,70,96
11836,-1768,10676,110,386,173,-14048,412,-7804,34,133,53
11976,-1676,10552,418,40,623,-13936,440,-7824,-21,165,61
11916,-1608,10712,452,-52,659,-13948,296,-7776,25,127,72
12000,-1720,10720,531,-228,465,-14040,640,-7804,-23,112,78
11960,-1760,10620,368,-188,320,-13964,624,-7824,1,131,57
12032,-1656,10624,-28,160,-155,-14000,612,-7820,13,161,39
12052,-1632,10464,83,-74,-117,-14000,572,-7796,20,149,109
11860,-1752,10652,85,113,-137,-14020,488,-7800,7,180,128
11976,-1636,10684,-199,121,-415,-13996,444,-7740,10,148,102
11876,-1656,10868,484,-537,661,-13928,528,-7892,35,131,73
11836,-1916,10696,-199,458,-546,-14044,480,-7788,4,140,-7
12196,-1648,10436,-26,23,-351,-13976,580,-7952,26,126,82
11732,-1836,10832,429,-402,551,-13980,552,-7820,11,130,48
12156,-1704,10584,-463,591,-827,-13980,584,-7848,24,145,64
11748,-1780,10712,306,-71,261,-14004,484,-7748,2,133,49
11704,-1796,10692,36,458,291,-14036,512,-7860,25,199,122
11932,-1776,10644,235,-58,207,-13956,524,-7880,25,139,89
11804,-1640,10960,99,192,145,-14056,456,-7948,-16,141,156
11852,-1676,10620,471,-166,680,-13968,524,-7852,27,113,56
11904,-1716,10660,287,-284,275,-14032,604,-7740,12,165,85
11920,-1704,10784,233,-257,162,-13952,596,-7784,30,111,55
11972,-1684,10552,395,-236,378,-14004,524,-7824,-6,170,54
11824,-1816,10596,2,295,-53,-14044,528,-7840,50,136,-28
12108,-1676,10428,605,-180,555,-14004,496,-7668,-397,428,-28
12020,-1376,10720,668,154,235,-13912,616,-7676,-748,-293,-386
11992,-1592,10632,-228,544,-729,-14016,524,-7848,20,141,81
11888,-1600,10680,986,36,1508,-14052,572,-7844,10,137,77
12004,-1828,10572,-205,251,-358,-14004,392,-7880,9,153,67
11920,-1692,10628,-212,109,-519,-13928,476,-7864,42,114,56
11904,-1696,10820,676,-331,1061,-14012,656,-7924,27,145,67
12068,-1744,10508,290,-227,263,-14000,472,-7856,29,140,63
11908,-1724,10660,-5,-70,-221,-13940,476,-7800,4,122,96
11912,-1692,10568,307,-179,366,-13940,560,-7764,26,139,87
11968,-1700,10580,202,176,174,-13996,556,-7796,9,130,51
12084,-1752,10584,-12,176,-195,-14004,560,-7920,-13,130,87
11920,-1744,10608,154,-81,117,-14068,532,-7896,32,152,78
11972,-1688,10688,195,-11,168,-13980,508,-7904,-16,128,65
12024,-1732,10588,87,197,22,-14008,460,-7852,-5,120,60
11968,-1748,10588,92,122,-33,-14012,488,-7876,14,155,71
11948,-1696,10572,149,-94,107,-14000,512,-7852,19,133,67
11964,-1760,10648,158,114,263,-13976,440,-7916,45,151,42
11936,-1816,10568,45,324,128,-13956,464,-7916,29,151,70
11912,-1784,10588,33,391,-29,-14012,464,-7984,-17,175,59
11948,-1740,10696,313,-52,459,-13940,408,-7948,22,161,66
