under_body2_AX,under_body2_AY,under_body2_AZ,under_body2_GX,under_body2_GY,under_body2_GZ,under_body3_AX,under_body3_AY,under_body3_AZ,under_body3_GX,under_body3_GY,under_body3_GZ
27648,-3672,2176,7937,5362,-13448,-16360,-1888,-3572,-7367,10882,1541
10452,-2892,1080,7814,13247,-13361,-12520,-1736,-324,917,14446,-2800
5856,5376,2880,-5196,13114,-14743,-14048,-3448,-2708,4960,15128,-1578
6748,5508,12116,-4550,-3002,-2610,-24108,2712,16764,2161,12689,-2754
15324,-3392,4032,10692,-13888,10978,-32768,3560,-7872,-16042,-18534,3868
31592,-280,-3072,6515,-11462,19912,-24268,-6032,-21236,11070,-31694,9183
15024,17444,13664,-2880,-7672,18510,7196,5976,-15508,-22614,-11419,-4052
1708,3288,20512,-3364,6959,-10184,-17468,1648,-10924,4200,11156,3622
32767,-8496,2160,11832,13396,-25367,-30948,3540,-20728,10764,27681,-7797
-6164,-9804,-15516,1750,8423,-1495,-15800,-14844,16092,919,25191,-4833
444,6448,19116,32767,-23033,18406,-5796,-13424,17236,-11685,1398,-4492
32767,-5824,-9016,-1939,-2934,20521,-32768,-7000,-32592,14703,-25774,14247
11840,24336,17080,-744,2533,24850,11848,-1348,-19888,-26047,-18753,-6417
1160,1488,20016,8736,7612,-4399,-18212,6600,6212,-18415,9080,13028
32767,-8744,-3516,11924,9824,-27507,-32768,236,-25376,1792,31880,-9067
-7584,-15060,-8976,1268,3113,-966,-11328,-7980,21696,3917,20333,-7414
10840,32767,32767,32767,-27681,9753,-20980,10068,8684,3465,-7726,-5042
32767,-2600,-9600,-6638,-12660,20852,-24348,224,-32768,9164,-19196,16456
12072,26048,5444,12532,3079,23475,11672,-9996,-15428,-32768,-27038,-12900
3448,8140,13104,21208,11084,3903,-22088,-1928,32767,-10389,-15752,12607
32767,-13464,8136,18599,8473,-28435,-32768,-9164,-18984,-6149,22528,-5772
-2608,-15884,-12324,32767,-2177,4352,-12704,-12304,15972,-494,17109,-8134
-4264,-6424,356,16780,-2090,24093,-11404,-1352,13960,-8228,-8846,-8263
32767,3704,-11600,11839,4267,14666,-32768,1188,-29712,-17667,-21785,10020
24240,8416,13756,5826,-105,21232,-3196,-8600,-13588,-17418,-31009,-2003
2176,11876,10948,8495,11623,2791,4248,12900,11156,10020,-5877,10143
32767,-13620,21560,3945,14370,-16662,13048,7596,-27200,26123,7869,-1073
26128,-6556,4160,20783,15580,-9721,-28412,-1568,-10940,-8143,16428,-5793
-284,11664,-13764,15010,-1513,-5466,-15092,-6972,18508,-14014,14870,-5338
29192,-19556,308,5449,2619,7889,-25932,17092,2352,-28268,-12682,1958
21988,3032,-7932,5210,-8492,14228,-31824,-152,-20608,-7965,-26864,7381
24504,6680,10068,11071,-9693,23953,5500,-248,-12320,-8102,-20108,-3212
5016,20628,15132,8938,11500,3598,-8232,20836,-4916,3129,5770,13485
32767,-17196,8476,9721,10523,-22798,-28048,-16188,-17272,4971,15481,-4392
