under_body2_AX,under_body2_AY,under_body2_AZ,under_body2_GX,under_body2_GY,under_body2_GZ,under_body3_AX,under_body3_AY,under_body3_AZ,under_body3_GX,under_body3_GY,under_body3_GZ
32767,-8408,2824,-32768,-32768,-20067,32767,8264,-31028,-2293,6325,-7055
8988,-6252,-15480,-5068,13931,-10421,-32768,-21944,12816,32767,27189,-26713
776,10832,5340,-32275,-1769,-491,6088,13620,23776,2138,2344,-244
-27256,-13692,-32768,11693,-10851,93,-32768,-20900,988,-6409,32767,5600
32767,8484,20988,32767,-20154,17988,11232,-6068,-15296,-9148,-18274,-797
-10864,18468,13952,-12625,7657,-6130,-10648,-1824,23596,-3113,10670,6499
32767,-15088,6184,-32768,-32768,-16821,32767,1388,-32768,6153,13184,-7014
6644,-7512,-13528,-3491,23996,-6144,-32768,-8968,3616,32767,16467,-26908
4156,3564,7596,-16957,-27136,3640,-4204,7400,11772,-5587,-10951,-1810
-7772,5248,-25980,-4118,-13607,-731,-29908,-21628,976,-11132,6408,5342
32767,5700,6464,32767,-14108,15255,-920,-12672,-21228,-2423,6153,3394
-4004,17372,15172,6441,12830,17195,-8876,3736,7452,-23622,-12496,10217
32767,17296,10520,-9789,-32768,-20439,-2680,-21276,-32348,-31903,32767,-10925
22104,-1244,-15824,5022,17370,-14777,-30760,5612,-10036,6111,14404,-12345
-6732,316,-6284,3391,-14989,-10166,-7524,1396,15900,-32768,-32768,5196
32767,32767,32767,32767,32767,-32370,-27896,8236,4296,-19319,-13365,7938
32767,5980,-14268,13515,-7210,9717,-16676,-17908,-28416,-11369,21894,10552
6808,5204,19492,5224,32767,11454,7144,-5604,-4284,-28583,-32768,-7057
-5416,1176,13416,-5513,-4181,-4970,1260,-760,-2868,-262,-3872,6773
32767,-9696,-2816,8084,-343,-12295,-19760,-15592,-23972,5658,10748,8690
2376,1540,-9328,16187,15549,-5551,-26008,9372,32767,12675,651,-10415
7244,6380,19808,-25916,-10512,2162,2772,15228,13676,12017,6450,-3580
-1204,-6400,-28984,28200,-12336,-1525,-32768,-5356,-908,6592,29361,8675
32767,8684,11532,23651,2574,12923,5664,-11468,-18224,-16461,-732,-3517
