under_body2_AX,under_body2_AY,under_body2_AZ,under_body2_GX,under_body2_GY,under_body2_GZ,under_body3_AX,under_body3_AY,under_body3_AZ,under_body3_GX,under_body3_GY,under_body3_GZ
10408,-4548,11376,-116,-33,255,-14288,688,-7700,95,116,-63
10572,-4020,11408,138,-36,393,-14080,592,-7664,51,110,-16
10496,-4236,11380,156,87,218,-14088,620,-7592,44,170,18
10636,-4180,11264,143,116,137,-13996,640,-7604,-1,123,106
10480,-4204,11268,213,-216,173,-14048,668,-7624,-13,136,39
10552,-4200,11336,130,132,273,-14040,668,-7692,33,120,70
10184,-3540,11120,-255,962,-4818,-14132,616,-7652,15,138,0
10588,-4116,11036,-198,-1743,358,-13952,360,-8484,-201,-67,287
16064,-5000,13180,17443,-13978,10460,-13172,1248,-5708,-79,1112,-1394
12264,-2256,10124,-44,162,-84,-14024,620,-7840,54,148,72
12272,-2240,9932,126,19,-121,-13964,616,-7760,25,143,60
12280,-2228,10048,134,57,85,-14004,540,-7780,22,158,74
12316,-2244,10124,81,158,-8,-14076,536,-7720,29,115,78
12340,-2388,10032,132,-29,17,-14024,556,-7736,-22,137,48
12296,-2288,10132,-73,192,-198,-14088,496,-7816,10,133,72
12272,-2212,10236,-15,123,13,-14008,544,-7808,-5,152,77
12248,-2268,10092,237,7,229,-14060,564,-7776,24,149,66
12268,-2288,10068,-38,114,-90,-14040,604,-7764,13,137,99
12200,-2296,10140,-36,43,-92,-14088,604,-7812,2,152,90
12248,-2236,10080,116,18,56,-14068,600,-7776,18,142,52
12232,-2196,10236,123,74,44,-14040,504,-7764,20,150,51
12324,-2244,10152,124,21,145,-14040,568,-7776,36,144,84
12316,-2272,10092,45,112,22,-14052,532,-7780,72,160,71
12220,-2280,10128,212,76,235,-14008,560,-7844,36,151,78
12236,-2268,10064,-89,255,-136,-14128,492,-7792,43,149,91
12356,-2204,10156,327,-2,333,-14000,552,-7800,0,148,36
12184,-2292,10228,224,44,256,-14004,652,-7856,27,166,74
12260,-2276,10132,81,141,27,-14028,556,-7820,27,171,74
12232,-2292,10200,153,27,160,-14056,576,-7780,16,123,106
12312,-2212,10144,109,65,119,-14028,616,-7820,10,165,90
12216,-2192,10320,243,-21,273,-14088,616,-7760,22,141,64
12280,-2252,10200,-44,191,-88,-13988,564,-7844,12,147,53
12348,-2176,10156,213,-61,199,-14048,488,-7812,14,108,68
12244,-2228,10240,174,112,177,-14036,580,-7804,27,147,91
12284,-2252,10168,78,52,79,-14000,512,-7724,26,147,71
12260,-2264,10088,111,45,111,-14036,556,-7816,-13,139,51
12324,-2224,10084,66,80,60,-14044,560,-7672,26,156,63
12292,-2244,10112,168,71,151,-13988,520,-7720,45,119,54
12232,-2276,10120,275,63,321,-14092,564,-7804,35,148,50
12296,-2252,10216,17,116,-17,-13948,648,-7836,7,150,76
12300,-2252,10192,257,-24,226,-13960,596,-7864,9,132,80
12184,-2264,10124,135,147,131,-14028,552,-7684,40,172,91
12184,-2244,10084,102,17,45,-14040,588,-7732,-1,168,83
12312,-2304,10140,122,-61,137,-14040,500,-7876,10,135,47
12324,-2248,10216,103,84,52,-14072,532,-7780,3,135,44
12296,-2308,10128,135,109,77,-14004,576,-7736,40,148,57
12316,-2232,10096,178,95,189,-14016,584,-7820,34,163,50
12332,-2264,10220,128,-79,46,-14100,544,-7752,0,119,92
12216,-2260,10260,-36,191,8,-13932,612,-7740,31,137,59
12308,-2188,10044,-116,108,-221,-13996,476,-7704,25,141,66
12264,-2228,10068,401,-69,386,-14032,572,-7740,3,146,50
12236,-2292,10204,-79,188,-137,-14112,532,-7728,35,136,78
12292,-2204,10116,220,-15,230,-13984,512,-7692,11,134,55
12248,-2296,10188,120,54,95,-13984,584,-7792,43,128,63
12348,-2256,10140,-20,55,-10,-14012,508,-7816,29,163,41
12248,-2232,10124,-156,-858,198,-14032,508,-7804,7,146,-37
12676,-2252,10296,151,635,-1448,-14080,620,-7828,36,148,60
12060,-2244,10324,-38,15,-101,-14056,620,-7708,13,154,41
12256,-2180,10088,-156,96,-426,-14048,620,-7816,10,150,57
12228,-2128,10212,109,90,253,-14028,568,-7816,28,117,67
12252,-2084,10240,77,88,76,-14016,548,-7904,35,130,48
12168,-2196,10248,327,21,330,-14084,608,-7916,17,147,99
12156,-2192,10220,18,35,81,-14004,616,-7740,4,130,56
12164,-2100,10184,76,69,-44,-14040,528,-7764,29,136,74
12180,-2096,10244,165,78,215,-14004,532,-7652,7,138,59
12308,-2116,10136,255,20,-284,-14072,516,-7800,26,125,82
11900,-1824,8636,364,-3101,-1558,-14148,16,-7772,-47,347,94
13364,-1220,8460,0,0,0,-10932,4296,-10100,1065,13779,-468
12852,-488,9720,-1637,813,-1809,-12292,488,-11336,-95,488,-58
13264,-532,9484,-1235,517,-779,-12336,344,-11516,-19,224,55
12800,-420,9528,1415,-191,1153,-12308,256,-11648,153,-825,260
12732,-656,9672,1783,-326,1912,-12412,420,-11576,19,125,105
13216,-808,9304,-455,359,-751,-12452,368,-11408,20,122,86
12992,-656,9596,106,106,-387,-12488,416,-11364,70,-135,139
13008,-704,9476,424,-140,142,-12388,396,-11408,0,192,56
13180,-516,9476,-233,15,-608,-12332,416,-11388,1,-18,52
13204,-652,9636,-67,36,-70,-12364,392,-11372,-1,-11,94
12188,-628,10404,2150,-945,3708,-12380,492,-11444,91,81,123
13136,-800,9580,-2614,1152,-3884,-12252,208,-11256,67,153,20
12980,-592,9412,944,-225,1071,-11892,324,-11300,123,212,0
13652,-232,8908,1881,-592,2532,-12384,460,-11376,41,221,76
13064,-840,9436,-1152,612,-1790,-12440,308,-11332,8,164,54
12872,-612,9564,-360,413,-851,-12436,356,-11388,23,155,45
12800,-840,9296,68,85,360,-12468,392,-11396,-4,156,73
13012,-644,9432,-68,61,-221,-12476,364,-11496,-25,155,53
13024,-696,9388,157,70,-80,-12452,384,-11348,-1,142,54
13032,-676,9316,191,140,662,-12380,396,-11416,27,134,88
12860,-644,9620,222,53,225,-12448,448,-11500,7,165,69
13068,-672,9488,261,-27,216,-12448,320,-11440,39,136,50
12952,-644,9512,396,-130,205,-12448,368,-11436,20,140,80
13024,-752,9408,370,-118,261,-12396,472,-11332,15,164,57
12932,-640,9428,294,33,257,-12412,356,-11304,6,138,69
13076,-652,9340,-39,199,-129,-12424,432,-11376,12,137,59
13056,-620,9500,130,30,291,-12452,436,-11488,34,155,98
12992,-616,9504,-43,156,-62,-12404,420,-11248,28,160,70
12932,-564,9468,362,-156,461,-12320,436,-11340,-24,146,47
13076,-584,9348,56,212,121,-12484,380,-11444,15,141,59
13032,-584,9512,190,-1,152,-12376,432,-11408,29,142,70
13048,-496,9516,179,76,122,-12416,384,-11292,30,121,70
