under_body2_AX,under_body2_AY,under_body2_AZ,under_body2_GX,under_body2_GY,under_body2_GZ,under_body3_AX,under_body3_AY,under_body3_AZ,under_body3_GX,under_body3_GY,under_body3_GZ
-16260,-1896,172,-1631,4336,-2566,-15200,752,3272,-692,-3645,-5430
-17292,-2244,-3612,470,6477,-1901,-20628,-9332,-1028,-3977,-4207,3042
-16320,-164,-3284,-9114,7343,786,-15248,-3712,-2224,-3471,-6404,8342
-15884,-3696,-1476,-9514,7057,1763,-13312,-2000,-3048,-6395,-11978,6295
-15972,-1136,-6548,-4518,7724,2911,-9880,-2436,2016,-15682,-12117,6877
-17916,-4512,2440,-5190,10574,3132,-8344,-576,10948,-2607,-3705,1478
-22500,-6700,-3732,-10897,-9281,-1227,-7964,-2532,-1536,7828,5678,4496
-21152,5356,-15536,13007,-11946,-7608,-14324,-3780,-3176,5037,11678,-231
-6592,4688,-8908,3756,-11714,-6440,-13540,-120,-1644,2897,13342,-2584
-10628,-5628,4196,7251,-11420,-5008,-14456,880,-6240,2236,13167,-1830
-17324,-9024,11976,-210,-2069,-3410,-17296,-296,2744,5891,12061,-3228
-12316,2156,-18420,1518,8099,-1038,-23232,6844,12608,11918,-2386,1441
-16996,112,-2700,-7787,12804,2587,-23336,-13800,-12536,-369,-14211,11083
-18476,-1968,-5084,-6200,15416,6808,-7108,-4184,-15948,9658,-18126,8668
-16916,-4152,5104,-1901,16056,7249,-5212,-8784,16912,-32768,-28317,1464
-25708,-17076,-8468,5916,-4915,-4349,1860,-1192,-24600,17461,13445,5438
-22104,10504,-13004,-1138,-18804,-15150,-16008,832,-10000,2848,15343,-3902
-2632,720,-14540,4388,-13699,-7048,-16820,-1100,-2916,-579,16343,-7812
-9640,-764,32767,-5827,-17411,969,-15544,3476,24984,9926,11562,-5595
-19132,2368,-11552,-954,11143,3991,-25716,-6884,-8544,-15047,-11867,6594
-26004,-5912,-5920,-11128,13180,7371,-18836,-5108,-17732,7529,-16276,12798
-21100,-4880,3000,-8855,16978,9302,-1856,6112,-10280,-13889,-20290,6634
-10680,-21428,-4600,2744,6733,5438,-23488,-1348,7140,-28289,-4028,3244
-32732,9684,-18176,-3896,-23439,-12155,-16584,424,-6652,7023,15787,-3218
-68,8248,-15924,3811,-18237,-4521,-21500,-2756,2492,-4009,18687,-8067
-15012,-23424,5168,-24849,32767,16086,14428,-3768,-17856,-11368,-22772,517
-18396,9644,13124,-4460,-11992,2350,-5104,8612,-32768,8800,31856,3859
-32768,6820,-32768,10761,-26899,-25623,-32768,-4304,-32768,7957,25309,-12348
8112,2968,-16524,8129,-7352,382,-13572,12740,11516,11246,22750,-10159
-31632,-21676,14024,-9593,9699,-9690,-19772,-2836,12112,-720,-15596,-4946
-32768,-6712,-22024,-9946,28164,18720,-25856,-3108,-32768,17608,-22452,21330
-11296,-29232,16460,8796,22982,13020,10488,5980,-16848,-12814,-23557,2279
-30188,-23124,-11216,-11998,-18642,-3349,-32768,3208,-32768,-25330,4773,3163
-18072,4360,-32768,10561,-26866,-18882,-32768,6360,4552,-5418,30328,-13104
