under_body2_AX,under_body2_AY,under_body2_AZ,under_body2_GX,under_body2_GY,under_body2_GZ,under_body3_AX,under_body3_AY,under_body3_AZ,under_body3_GX,under_body3_GY,under_body3_GZ
-7984,4172,-8780,-1361,-10643,-13057,-14204,2916,204,6200,13737,-3964
-11020,-5540,300,14019,-15748,-11674,-15224,-1372,-804,2169,13071,-2909
-29776,7724,13368,-2092,-2233,4949,-17136,-7352,26416,13368,-838,-5945
-17908,-6632,-8312,-3721,9559,2076,-24444,-5336,-18584,-7126,-12948,7615
-14920,-6364,-1996,-6131,10727,5433,-7564,-3552,-14344,1914,-13697,7521
-15584,-2788,-1180,-6807,9935,6555,-8924,-2452,-5084,-14872,-12464,4254
-18484,-1248,1092,-3461,13025,9057,-9632,-2616,9216,8118,-5912,-3331
-7692,304,22036,-14460,-9611,8420,-14112,1112,6200,10196,6508,-5107
-14348,-324,-18136,-7237,3589,-2983,-18324,-4508,-19344,-8793,-4515,9679
-17052,-4764,3316,-161,-871,3749,-16588,5984,-896,5822,5903,2670
-17260,-2092,5784,-3368,4781,3354,-14072,-1936,3688,-5238,3874,675
-13636,-4164,3820,865,-7567,652,-14368,-532,-2008,-500,4643,-2259
-11984,-1216,7544,5769,-4837,3676,-14372,-20,-2876,-768,5677,-3312
-9680,-1108,3652,-98,1337,1929,-13612,-500,-3332,-318,9160,-5178
-15404,4900,-8708,-6905,4352,-966,-23612,-3908,10220,4739,-3160,-6275
-15828,-3404,1276,-7298,9954,4606,-10780,-7712,-7460,-6950,-11648,8326
-15056,-2104,2036,-4278,10408,4517,-7952,-1796,-5532,-138,-4851,5963
-16264,-52,-5312,1138,12790,5772,-12792,3236,11688,-14223,-5084,5931
-7020,3224,-9576,11514,-9054,-3309,-12836,4024,1564,0,0,0
-12960,-44,6692,8021,-10318,-1319,-13256,-848,-6360,-368,12761,-2606
-14924,-6092,11336,-2755,-8238,-2179,-17744,-2480,1560,8890,11238,-1702
-10576,-1108,-15404,-279,6049,-5829,-22884,5192,-10556,19483,-702,2528
-16900,2768,-2056,-7019,8770,3184,-20208,-9940,-11084,2370,-14121,10628
-5388,2260,-8944,2793,-11046,-2814,-14140,2352,-584,0,0,0
-16020,7844,15992,27154,-10631,7447,-14052,-940,-6024,1610,13778,-3093
-10504,-288,7512,-5234,-5872,-2789,-20664,-432,8344,0,0,0
-13140,-6648,-11756,-19455,5551,-4664,-22776,-5324,-19752,10048,-9923,5614
-19152,2228,-2876,-765,14064,3768,-15304,-12188,-12636,10183,-13029,19435
