under_body2_AX,under_body2_AY,under_body2_AZ,under_body2_GX,under_body2_GY,under_body2_GZ,under_body3_AX,under_body3_AY,under_body3_AZ,under_body3_GX,under_body3_GY,under_body3_GZ
22092,8180,24720,-4491,-17832,32767,-31452,-3296,12720,-6195,1733,2422
14648,-9204,24784,32767,32767,19080,-19016,-3052,-8752,987,13971,-1378
13268,-32,3932,16530,-30007,8889,-12108,1088,-728,6898,18299,-4955
10960,1292,10924,19165,-14007,7445,-13828,-488,1192,4261,12702,-4778
22584,10464,24120,32767,9260,32767,-13664,-3100,16296,14924,5596,-7549
18788,1176,23948,-32768,-32768,-32768,-21664,-19996,-12832,783,-12385,11641
5672,104,4832,8350,32249,32767,-5204,-5036,-7580,20876,-9612,4955
15528,2512,20184,-32768,26312,-32768,-5200,-512,-3268,-16647,-17372,-837
31400,13880,32767,26547,29712,32767,-6096,-4804,16960,5902,-3574,-4064
13140,-4920,17756,2037,-15266,-18805,-11264,7792,-16176,6712,8281,3763
15320,13656,22228,-32768,-3613,-32768,-14600,-1768,-3000,0,0,0
10744,6580,4316,30972,26847,526,-14420,992,304,7729,14839,-2705
20504,9908,24400,32767,19257,24177,-20616,1732,7532,4562,12914,-2917
1436,-3380,11396,24237,8769,32767,-22932,9728,-5400,9554,-7971,2052
2964,4216,12956,-32768,-32768,-23022,-19448,-15200,-12252,3327,-14357,9104
9596,-15204,19984,32767,12078,32767,-712,-96,-13300,1222,-11233,2960
8432,1416,14504,-32768,7107,-32768,-23340,-14332,25212,-32768,-18664,-3184
18416,7208,14964,-32768,4855,-20960,-32768,4268,-4648,9692,-2943,7515
788,868,-5084,9747,18483,-24585,-19180,-3880,-10844,5901,9865,-427
13980,7172,9608,31142,3847,15433,-13004,1180,1468,9228,17441,-6450
12352,6432,6532,-15675,8388,-32768,-13988,-1952,-3952,-37,11423,-5702
15936,8508,10756,19541,17659,-19347,-19396,-1912,8868,145,9287,-5160
16628,2112,28096,32767,-17485,32767,-22560,9272,-13052,-856,1398,5179
4240,5240,9404,-21023,-32768,-18444,-19696,-13760,-15428,-6957,-14981,17309
11480,-1800,23272,32767,10830,32767,-2316,-960,-15000,-3698,-7146,12424
8328,-4052,11208,-27570,32767,-32768,-29144,-3792,30704,-28948,-22942,3031
17552,7992,17092,-32768,-2971,-18282,-18432,7236,-9856,-13479,-11001,7246
17148,1232,13124,-26575,-26354,-1541,-28884,8664,-13524,-1355,16432,362
19012,10016,-6940,-19610,32767,32767,-15092,7172,-2412,12779,17673,-5023
292,-9596,6796,-32768,-32768,-32768,-13244,344,1376,5963,12291,-3256
14156,18872,17268,4186,-18927,-22882,-32768,-16012,-19800,3040,-16177,11736
8420,-2232,19128,32767,-8087,32767,-8848,-14812,-9120,11758,-15954,10181
-812,-4176,2828,1096,-21684,8060,84,5116,-14032,-2823,-9522,-1798
18504,2980,21560,-28338,20342,-30789,-16512,-24548,32767,-32768,-32768,-3210
12508,3080,12104,11478,1860,32767,-6264,-3624,-32768,28773,1780,9397
12380,8504,24352,-32768,-32768,-32768,-14600,-2280,-7840,3981,10275,-3718
4560,892,2568,108,-32768,14306,-12368,224,1296,1975,17225,-5619
6124,3872,5236,7211,19847,-5870,-15356,-3764,-4300,4157,12012,-4298
23868,828,32767,32767,19362,32767,-19064,-2600,32767,7216,-7767,-8886
7020,10232,10600,-21586,-14907,-32768,-23864,-4484,-12848,-2715,-14564,12533
19780,3500,23452,32767,32767,-5037,-3228,-4568,-14540,746,-17040,6251
12416,-2436,4100,4869,-13883,-3609,-2156,-4680,-15292,-30261,-7702,1923
7780,148,8884,19906,4464,28492,-7692,-60,-20404,32767,11964,-7485
11832,-1124,16168,26789,32767,32767,-15736,1384,-19752,-4736,11541,3450
19956,8028,21812,-32768,-32768,-32768,-15580,-1396,192,-8086,10526,-4739
5612,2520,7532,6429,-32768,32767,-6264,-2404,-2100,-309,14202,-5640
3240,4792,6124,-22322,-13390,-19994,-22060,2532,5848,426,7731,-5109
17840,-10092,30360,15686,-32768,32767,-17600,14468,3588,-4814,2242,3119
372,5276,6848,-23740,-15983,-32768,-30420,-3732,-20036,-32648,-15237,16875
19976,9812,25732,17058,32767,-23768,-3176,-4896,-13012,1688,-17029,11661
16104,-3624,6512,32145,-5909,31404,-6500,-2812,-12248,-22004,-7627,1102
10580,5272,14400,20118,-11416,32767,-9792,-3416,-8412,-3895,3142,-457
12632,-6852,16024,15598,32767,20567,-29100,276,-14424,3262,11543,-687
10152,5356,5604,-32768,-32768,-32768,-14428,3316,-844,7766,14972,-7065
9320,2168,7984,-490,-26095,26474,-10896,3944,-3408,-3088,12698,-3199
9620,6292,9924,7516,23197,-1279,-18460,3280,7500,4103,14228,-4606
15432,-620,29028,-32768,-32768,-27165,-18904,-4468,-17372,18,-1888,8088
4352,7964,13152,32767,32767,28293,-13388,-26604,-12712,17647,-12538,14776
25088,-1976,32767,32767,19831,-14454,-8228,844,-6768,-1717,-5121,6053
